feature;length;width;thickness;weight;type;cortex;burned;mod
3526;52;35;12;21,4;flake;cortex;unburned;unmod
3526;34;18;9;3,7;flake;no cortex;unburned;unmod
3526;12;10;3;0,3;flake;no cortex;unburned;unmod
3536;20;18;6;1,9;flake;no cortex;unburned;unmod
3536;46;26;8;7,4;flake;cortex;unburned;unmod
3567;29;20;8;3,3;blade;cortex;unburned;unmod
3567;25;20;3;1,5;flake;no cortex;unburned;unmod
3567;21;20;7;3;blade;no cortex;unburned;unmod
3567;26;13;3;1,1;blade;no cortex;unburned;mod
3567;17;11;3;0,6;flake;no cortex;unburned;unmod
3567;30;15;5;2,2;flake;no cortex;unburned;mod
3567;23;16;5;1,6;flake;no cortex;unburned;unmod
3567;15;12;6;0,5;other;no cortex;unburned;unmod
3567;16;9;3;0,5;flake;no cortex;unburned;unmod
3567;10;8;4;0,4;flake;no cortex;unburned;unmod
3567;20;15;4;0,9;flake;cortex;unburned;unmod
3567;22;11;6;1;flake;cortex;unburned;unmod
3579;27;24;9;5,8;flake;cortex;unburned;unmod
3616;14;14;7;1,3;flake;cortex;unburned;mod
3653;46;24;20;16,9;other;cortex;unburned;mod
3653;38;26;23;13,2;other;cortex;burned;unmod
3669;48;20;5;4,3;blade;no cortex;unburned;unmod
3669;23;13;2;0,6;flake;no cortex;unburned;unmod
3669;26;14;5;1,5;flake;cortex;unburned;unmod
3687;23;14;2;0,6;flake;no cortex;unburned;mod
3907;16;15;3;1,1;blade;no cortex;unburned;unmod
3940;72;62;27;105,9;flake;cortex;unburned;unmod
3941;20;14;3;0,8;flake;cortex;unburned;mod
3941;NA;NA;NA;NA;other;NA;NA;mod
3942;11;9;4;0,4;other;cortex;unburned;unmod
3983;21;16;9;2,2;flake;no cortex;burned;unmod
4002;38;32;6;4,5;flake;cortex;unburned;unmod
4006;30;18;4;1,3;blade;no cortex;unburned;mod
4006;37;21;5;3,4;blade;no cortex;unburned;mod
4006;30;19;4;1,9;flake;no cortex;unburned;mod
4219;28;18;6;3,6;blade;no cortex;unburned;unmod
4219;18;14;4;1,2;blade;no cortex;unburned;unmod
4219;18;10;3;0,7;flake;cortex;unburned;unmod
4219;14;10;3;0,4;flake;no cortex;unburned;unmod
4219;20;17;6;1,8;blade;no cortex;NA;unmod
4219;21;14;4;0,7;flake;no cortex;burned;mod
4219;28;15;4;1,7;other;no cortex;unburned;unmod
4219;35;14;5;1,5;other;no cortex;unburned;unmod
4219;20;14;5;1,5;flake;no cortex;unburned;mod
4219;30;22;6;5,1;blade;no cortex;unburned;mod
4219;12;7;3;0,2;other;no cortex;burned;unmod
4219;13;6;2;0,2;flake;no cortex;unburned;unmod
4221;24;19;6;2,5;blade;no cortex;NA;unmod
4221;16;12;4;0,5;flake;no cortex;unburned;unmod
4221;24;19;6;2,5;flake;no cortex;unburned;unmod
4221;15;14;3;0,7;other;no cortex;unburned;unmod
4222;29;20;20;12,9;other;no cortex;unburned;unmod
4222;23;20;6;3;blade;cortex;unburned;unmod
4225;30;13;6;2,6;blade;no cortex;unburned;mod
4225;21;20;6;2,8;blade;no cortex;burned;unmod
4658;42;20;5;6,2;blade;no cortex;unburned;mod
4658;32;28;11;8,6;flake;no cortex;unburned;unmod
4658;38;32;12;9,7;flake;cortex;unburned;unmod
4658;33;27;6;5,5;flake;cortex;unburned;unmod
4658;25;20;8;3,9;flake;no cortex;unburned;unmod
4658;32;23;5;2,8;flake;no cortex;unburned;unmod
4658;25;14;8;2,6;other;no cortex;unburned;unmod
